date,name,amount,category
2026-01-02,NETFLIX.COM,15.49,Entertainment
2026-01-03,SPOTIFY USA,10.99,Entertainment
2026-01-03,GIANT EAGLE #1234,84.22,Groceries
2026-01-05,STARBUCKS 04567,6.75,Dining
2026-01-06,UBER TRIP,18.42,Transport
2026-01-08,DOORDASH,32.18,Dining
2026-01-10,AMAZON MKTPLACE PMTS,47.12,Shopping
2026-01-12,COMCAST CABLE,79.99,Utilities
2026-01-14,STARBUCKS 04567,5.95,Dining
2026-01-17,DOORDASH,28.66,Dining
2026-01-20,NETFLIX.COM,15.49,Entertainment
2026-01-21,SPOTIFY USA,10.99,Entertainment
2026-01-22,GIANT EAGLE #1234,92.61,Groceries
2026-01-24,RENT PAYMENT,1200.00,Housing
2026-01-25,UBER TRIP,22.05,Transport
2026-01-28,STARBUCKS 04567,7.20,Dining
